dimcol	cptimes	cprandtimes	cprandffttimes
40	0.00269833333333333	0.762243925589172	0.650182002769397
60	0.00377153666666667	1.09296776817273	0.815684903361617
80	0.00492504	1.40171030986322	0.98739024352755
100	0.00654795666666667	1.69056165676828	1.21756455725703
120	0.01145796	2.81812480170003	2.00252719884651
140	0.00620516333333333	1.30675733351304	0.939603484138709
160	0.0122874366666667	2.32771122529331	1.74477558603226
180	0.0200671666666667	3.6803831904826	2.66524553294729
200	0.0287820533333333	4.95362603193179	3.64309344665468
220	0.0400287566666667	6.6503961619338	4.72035926001777
240	0.0507795466666667	8.00242060413195	5.52351048076798
260	0.0323635866666667	4.90868819381002	3.24251728783536
280	0.0399276633333333	5.88714876057429	4.05858852198285
300	0.05991693	8.5517182812335	6.25349994416232
320	0.07636994	10.562222701674	6.89208587213034
340	0.08687204	11.5271064860069	9.23901658417886
360	0.11614572	15.5941181893776	11.7669341861537
380	0.15723305	20.2194242276033	15.5742953336791
400	0.08006511	11.4497533392982	7.78087597133262
420	0.112897926666667	15.7432405548119	10.4345909808604
440	0.136955223333333	18.3927482019799	12.1912338031311
460	0.16530949	23.1561138623339	14.6631865157283
480	0.20198945	25.6052449548483	15.706067368552
500	0.24172582	30.0958207342247	18.981551567584
520	0.161649453333333	19.7585355777073	11.2192625406539
540	0.208992703333333	25.4728635464095	15.1331878050729
560	0.24047603	27.7598863328094	16.1339925782946
580	0.28499318	27.4987485357772	18.4550436250977
600	0.346972683333333	38.0643521035958	21.9240107880522
620	0.408478486666667	44.5670264463135	23.3567763473262
640	0.38344521	40.0768006304506	22.2852024291145
660	0.365193556666667	37.048131295267	20.375102472431
680	0.398144083333333	40.623133678607	21.8124488670396
700	0.478800553333333	45.8916467650805	25.8018412261716
720	0.561530266666667	50.442332505	28.8499961552538
740	0.649790363333333	60.4293882634924	30.5359262991471
