dimcol	cptimes	cprandtimes	cprandffttimes
10	0.0076835875	1.78015864511626	1.8263892231546
15	0.012888245	2.86518937779243	2.95907018818713
20	0.0311876275	5.52310130056882	4.77095530770911
25	0.0868024675	14.8781360179492	12.6569495504395
30	0.17167873	29.5745024834376	24.2697813681964
35	0.3201778225	54.0059335581487	38.7197440232383
40	0.545805625	103.123355650045	80.375073675778
45	1.01598035	174.466048010001	128.475046938242
50	1.61293743	297.7735679245	234.635957209644
55	2.65919914	477.684497658237	361.173698092809
60	3.787826465	629.832963572188	436.866568805456
