trial,cpalsfit,cpalsrandfit,cpalsscore,cpalsrandscore
1,0.891864955111427,0.975062749260379,0.104732050099282,0.449568254640256
2,0.907388379691084,0.975295370801929,0.134528463983896,0.588252579104312
3,0.914494252741644,0.975343243378281,0.168987816847185,0.605444430344345
4,0.918020493672005,0.975379421194069,0.174973260348722,0.619373943032932
5,0.918165682661586,0.975399181499839,0.182858515622391,0.662609861076301
6,0.918534363036621,0.97544206661256,0.219919672682885,0.690232462257681
7,0.93905452276531,0.975469676053523,0.370752353861271,0.708339089646554
8,0.940357933698258,0.975479581801426,0.449884537940028,0.715055665852155
9,0.942310154961152,0.975492063070223,0.456508686756982,0.729154812808818
10,0.953002308987112,0.97549628374115,0.458057528233225,0.733865053752368
11,0.961489210125406,0.97558179921818,0.473880976052608,0.737193897056094
12,0.962955128919878,0.975671863543737,0.498603123618487,0.755964915507848
13,0.963251222224387,0.975694224439321,0.499648994834702,0.756665192826931
14,0.96592024694354,0.975732352629477,0.524414210533332,0.759829680682902
15,0.966009780332864,0.975758959879357,0.550326392984884,0.760542751568791
16,0.969429426950463,0.975762163376448,0.57400354585626,0.770882212582748
17,0.970005570617853,0.975762822736502,0.57594667211851,0.78147909258095
18,0.975477510382252,0.975982793498292,0.576174222723228,0.81054041148445
19,0.975589077524824,0.976170408617313,0.582016811613165,0.84720254491519
20,0.975674732169573,0.976255920740478,0.602761365945282,0.863547219451821
21,0.975747080027878,0.976257288885511,0.625043967289864,0.873993451332843
22,0.975804757314173,0.976283364141076,0.648918395957005,0.881349564286983
23,0.97582585543767,0.976413517991798,0.664367544939526,0.885422429130922
24,0.975896741268639,0.976437461241724,0.673120488648627,0.895545175796051
25,0.975956557819474,0.976642846000953,0.71645794852081,0.8983127609841
26,0.976008373347086,0.976779159495761,0.74008927362673,0.930487574125334
27,0.976349723196971,0.976911633180405,0.747322448560041,0.939449159365656
28,0.976870981608061,0.976917788466955,0.804495378973958,0.952561799988973
29,0.976958845970587,0.977175834291773,0.904729472725602,0.961540476402551
30,0.977306347071383,0.977750560718224,0.924655427468772,0.989825867315184
