trial,cpalsfit,cpalsrandfit,cpalsscore,cpalsrandscore
1,0.970321951861313,0.974216078454355,0.158968438452423,0.250720892727094
2,0.97387857084885,0.976047302076139,0.170418140725969,0.259936538309077
3,0.974407535925685,0.976920129401067,0.202367959614124,0.360995784389416
4,0.974470674463544,0.976936928701605,0.239238666660197,0.384564256965221
5,0.975725780516439,0.976945838060842,0.242230637338531,0.423173802525317
6,0.976352841428288,0.977005696076327,0.252376155836017,0.468548829650238
7,0.976441098747982,0.977038411091878,0.297025564725406,0.477305656133241
8,0.976476641118806,0.97719828609258,0.306092194683084,0.496664566514558
9,0.976577441274587,0.977325163142871,0.323920527568716,0.499849055875337
10,0.97678027937365,0.977353635145983,0.324042068829184,0.548031773684241
11,0.976813986741022,0.977425330090148,0.331166563502545,0.551307338515044
12,0.976829256968309,0.977449591837942,0.346055019568777,0.56607705517952
13,0.977022118334747,0.977547606699059,0.347444939089806,0.59336300287787
14,0.977098425265546,0.977558929714354,0.416384478337119,0.618112968974531
15,0.977112112284025,0.977636454851945,0.419083234713322,0.622806491077993
16,0.977122350707921,0.977713463679906,0.427859764039283,0.649069796906119
17,0.977197672634258,0.97781682251141,0.433844063947413,0.654599768377157
18,0.97743964503713,0.977935650231058,0.464825142662956,0.659301937132223
19,0.977660801028105,0.978027871393084,0.468188852890147,0.666658070068913
20,0.977744979637926,0.978028021128499,0.477292569611179,0.677908551057164
21,0.977788151917011,0.978068759115654,0.49027122247294,0.689163130006919
22,0.977819721888345,0.978322701034865,0.500597208992729,0.695068618130553
23,0.977871126408999,0.978332850968524,0.512751591582316,0.700498561984116
24,0.977904389882019,0.978405649682736,0.529408379412454,0.709106014675493
25,0.978250496007845,0.978563897300753,0.529944487018685,0.715152607482655
26,0.97832247526518,0.978652072487623,0.598694818391223,0.756871670075106
27,0.978332356206222,0.978671019258822,0.615514023539654,0.772524435001111
28,0.978362868712192,0.978921151651656,0.616330818213412,0.791772261104517
29,0.978892767995511,0.979784957229419,0.669748997806078,0.802195758722545
30,0.97933468105714,0.981489186102753,0.746132737304627,0.845079482964494
