dimcol	cptimes	cprandtimes
10	0.0059477	0.0025546
15	0.0069781	0.0023954
20	0.0093455	0.0024807
25	0.0319326	0.0025051
30	0.0579242	0.0029263
35	0.152551	0.0029853
40	0.2948571	0.0026831
45	0.4550651	0.0027673
50	0.6964847	0.0027911
55	1.0111072	0.002607
60	1.6615126	0.0039604
