Var1	Var2	Var3
50	0.0112363333333333	0.00307166666666667
100	0.027692	0.008857
150	0.0826696666666667	0.0331483333333333
200	0.147421666666667	0.0838796666666667
250	0.290666	0.157185333333333
300	0.425271	0.252079
350	0.743458666666667	0.387182666666667
400	1.14323566666667	0.574491666666667
450	1.584091	0.816079
500	2.86435533333333	1.07193733333333
550	3.74045033333333	1.47114233333333
600	4.71603433333333	2.00104033333333
650	5.339968	2.493663
700	6.992215	3.21627866666667
750	8.8969	3.9186
