dimcol	cptimes	cprandtimes	cprandffttimes
20	0.00286749666666667	0.00271464666666667	0.00243178
40	0.00269833333333333	0.00353998666666667	0.00415012
60	0.00377153666666667	0.00345073	0.00462376666666667
80	0.00492504	0.00351359333333333	0.00498793666666667
100	0.00654795666666667	0.00387324333333333	0.00537791333333333
120	0.01145796	0.00406581	0.00572175
140	0.00620516333333333	0.00474852	0.00660402333333333
160	0.0122874366666667	0.00527876333333333	0.00704241666666667
180	0.0200671666666667	0.00545246666666667	0.0075292
200	0.0287820533333333	0.0058103	0.00790044333333333
220	0.0400287566666667	0.00601900333333333	0.00848002333333333
240	0.0507795466666667	0.00634552333333333	0.00919334666666667
260	0.0323635866666667	0.00659312333333333	0.00998100666666667
280	0.0399276633333333	0.00678217333333333	0.00983782
300	0.05991693	0.00700642	0.00958134333333333
320	0.07636994	0.00723048	0.0110808166666667
340	0.08687204	0.00753632666666667	0.00940273666666667
360	0.11614572	0.00744804666666667	0.00987051666666667
380	0.15723305	0.00777633666666667	0.0100956766666667
400	0.08006511	0.00699273666666667	0.0102899866666667
420	0.112897926666667	0.0071712	0.0108195833333333
440	0.136955223333333	0.00744615333333333	0.01123391
460	0.16530949	0.00713891333333333	0.0112737766666667
480	0.20198945	0.00788859666666667	0.0128606
500	0.24172582	0.00803187333333333	0.0127347766666667
520	0.161649453333333	0.00818124666666667	0.0144082066666667
540	0.208992703333333	0.00820452333333333	0.0138102233333333
560	0.24047603	0.00866271666666667	0.01490493
580	0.28499318	0.01036386	0.0154425633333333
600	0.346972683333333	0.00911542333333333	0.01582615
620	0.408478486666667	0.00916548666666667	0.01748865
640	0.38344521	0.00956776	0.01720627
660	0.365193556666667	0.00985727333333333	0.01792352
680	0.398144083333333	0.00980092	0.0182530666666667
700	0.478800553333333	0.0104332833333333	0.0185568366666667
720	0.561530266666667	0.0111321233333333	0.01946379
740	0.649790363333333	0.0107528866666667	0.0212795366666667
