Gram(0),Gram local multiply(0),Gram shift(0),Gram all-reduce(0),Gram all-gather(0),Gram packing(0),Gram all-to-all(0),Gram unpacking(0),Eigensolve(0),TTM(0),TTM local multiply(0),TTM packing(0),TTM reduce-scatter(0),TTM reduce(0),Gram(1),Gram local multiply(1),Gram shift(1),Gram all-reduce(1),Gram all-gather(1),Gram packing(1),Gram all-to-all(1),Gram unpacking(1),Eigensolve(1),TTM(1),TTM local multiply(1),TTM packing(1),TTM reduce-scatter(1),TTM reduce(1),Gram(2),Gram local multiply(2),Gram shift(2),Gram all-reduce(2),Gram all-gather(2),Gram packing(2),Gram all-to-all(2),Gram unpacking(2),Eigensolve(2),TTM(2),TTM local multiply(2),TTM packing(2),TTM reduce-scatter(2),TTM reduce(2),Gram(3),Gram local multiply(3),Gram shift(3),Gram all-reduce(3),Gram all-gather(3),Gram packing(3),Gram all-to-all(3),Gram unpacking(3),Eigensolve(3),TTM(3),TTM local multiply(3),TTM packing(3),TTM reduce-scatter(3),TTM reduce(3),Gram(4),Gram local multiply(4),Gram shift(4),Gram all-reduce(4),Gram all-gather(4),Gram packing(4),Gram all-to-all(4),Gram unpacking(4),Eigensolve(4),TTM(4),TTM local multiply(4),TTM packing(4),TTM reduce-scatter(4),TTM reduce(4),Total
12.2221,10.2728,0,1.94654,0,0,0,0,3.32531,1.20321,1.0374,0,0,0,1.90517,0.776373,0,0.589048,0,0.029455,0.467609,0.0265936,9.04423,1.20079,0.0593213,0.0426943,0.295889,0,0.38337,0.0281053,0,0.327992,0,0.00129891,0.0206657,0.00163778,2.78335,0.370968,0.00519805,0,0,0.0278534,0.0064764,6.1578e-05,0,0.00641132,0,0,0,0,0.000116768,0.0724255,5.7656e-05,0,0,0,0.00069566,2.5547e-05,0,0.000495211,0,0,0.000163216,0,5.0731e-05,0.0921643,0.000127534,0,0,0.00125004,32.6259
12.2216,10.235,0,1.98392,0,0,0,0,3.3416,1.21708,1.06763,0,0,0,1.87489,0.777227,0,0.580901,0,0.0288685,0.444434,0.0276963,9.03372,1.21296,0.0597272,0.0435179,0.294518,0,0.383624,0.0280908,0,0.327936,0,0.00129707,0.0209519,0.00164989,2.79986,0.356052,0.00543204,0,0,0.0297604,0.00434305,5.666e-05,0,0.00428389,0,0,0,0,0.000113389,0.0724315,5.7599e-05,0,0,0,0.000698127,2.8382e-05,0,0.000495749,0,0,0.000162809,0,4.9842e-05,0.0915953,0.000122664,0,0,0.000684666,32.6248
12.2222,10.2698,0,1.94961,0,0,0,0,3.32974,1.19964,1.03828,0,0,0,1.90429,0.777377,0,0.58829,0,0.0296547,0.46613,0.0267699,9.04903,1.18898,0.0594486,0.0430891,0.288458,0,0.390964,0.0280525,0,0.327536,0,0.00133188,0.0287169,0.00163213,2.80361,0.351594,0.00531224,0,0,0.0285383,0.00576494,5.6742e-05,0,0.00570564,0,0,0,0,0.000107879,0.0724427,5.9698e-05,0,0,0,0.000691711,2.8351e-05,0,0.000494251,0,0,0.00016063,0,5.1436e-05,0.0918323,0.000134546,0,0,0.000907897,32.6256
12.2221,10.2646,0,1.95472,0,0,0,0,3.34297,1.18958,1.04133,0,0,0,1.90106,0.777264,0,0.558036,0,0.029674,0.491294,0.029136,9.05801,1.18829,0.0594972,0.0430133,0.295459,0,0.383294,0.0280551,0,0.328453,0,0.00131343,0.0201736,0.0016285,2.79876,0.356804,0.00536586,0,0,0.0298599,0.00432195,5.3293e-05,0,0.00426601,0,0,0,0,9.4152e-05,0.0724818,8.0391e-05,0,0,0,0.000664157,2.5386e-05,0,0.000494262,0,0,0.000136285,0,5.124e-05,0.0919788,0.000133381,0,0,0.00105484,32.6258
12.2222,10.27,0,1.9494,0,0,0,0,3.33794,1.1919,1.03876,0,0,0,1.90379,0.775774,0,0.543433,0,0.0307554,0.507155,0.0303736,9.05729,1.18934,0.0598528,0.0434648,0.295002,0,0.383149,0.028227,0,0.328708,0,0.00131609,0.0195558,0.00162595,2.80224,0.356444,0.0054929,0,0,0.0320488,0.00202417,5.2299e-05,0,0.00196998,0,0,0,0,0.000105113,0.072445,5.8774e-05,0,0,0,0.000691568,2.4274e-05,0,0.000491394,0,0,0.00016475,0,5.1157e-05,0.0921294,0.000138195,0,0,0.00120287,32.6259
12.2216,10.2636,0,1.95528,0,0,0,0,3.33327,1.21934,1.06148,0,0,0,1.88102,0.777216,0,0.578348,0,0.0293073,0.45221,0.0280433,9.04598,1.19941,0.0595957,0.0435587,0.294387,0,0.384376,0.0281539,0,0.327549,0,0.00133349,0.0219538,0.00165686,2.7982,0.36006,0.00547304,0,0,0.0324292,0.00164922,5.9356e-05,0,0.00158736,0,0,0,0,0.000114871,0.0724368,5.968e-05,0,0,0,0.000693235,2.6299e-05,0,0.000487792,0,0,0.000167498,0,5.1274e-05,0.161118,0.00013073,0,0,0.0701958,32.6944
12.222,10.471,0,1.74838,0,0,0,0,3.347,1.23263,1.08857,0,0,0,1.85347,0.776477,0,0.596726,0,0.0303607,0.406658,0.0286298,9.08108,1.16801,0.0596166,0.0409625,0.30213,0,0.3853,0.0279737,0,0.330243,0,0.00119461,0.020968,0.00155315,2.81037,0.34958,0.00573361,0,0,0.03312,0.000632373,5.5154e-05,0,0.000575244,0,0,0,0,0.000107615,0.0724569,6.1649e-05,0,0,0,0.000693712,2.4578e-05,0,0.000488903,0,0,0.000169722,0,4.6489e-05,0.0921916,0.00010615,0,0,0.01223,32.626
12.222,10.493,0,1.72639,0,0,0,0,3.34747,1.20865,1.06513,0,0,0,1.87698,0.776075,0,0.64354,0,0.0298386,0.383182,0.0277898,9.08101,1.14756,0.0595601,0.0408621,0.280939,0,0.404845,0.0281351,0,0.328296,0,0.00124847,0.0421246,0.00158343,2.79786,0.360341,0.00571137,0,0,0.0316597,0.00208141,5.5054e-05,0,0.00202412,0,0,0,0,0.000107475,0.072458,6.1716e-05,0,0,0,0.000698774,2.5098e-05,0,0.000488449,0,0,0.000172707,0,4.6633e-05,0.161141,9.556e-05,0,0,0.0811874,32.695
12.2219,10.5111,0,1.70823,0,0,0,0,3.35264,1.19298,1.05418,0,0,0,1.88794,0.775129,0,0.644473,0,0.0305466,0.393258,0.0278684,9.05504,1.16258,0.0596493,0.0407934,0.270589,0,0.415265,0.028023,0,0.327692,0,0.00134507,0.0530765,0.00165441,2.80264,0.355707,0.00548443,0,0,0.0329506,0.00114842,5.4227e-05,0,0.00109205,0,0,0,0,0.000115702,0.0724427,5.8915e-05,0,0,0,0.000701388,2.5008e-05,0,0.000497829,0,0,0.000165697,0,4.4621e-05,0.0920682,0.000130641,0,0,0.0120691,32.6259
12.2215,10.5042,0,1.71462,0,0,0,0,3.3509,1.19443,1.054,0,0,0,1.88815,0.776723,0,0.648301,0,0.0303715,0.390029,0.0272213,9.07723,1.14268,0.0595972,0.0408909,0.27388,0,0.410664,0.0279908,0,0.329234,0,0.00134303,0.0471742,0.00151237,2.80607,0.351989,0.00571972,0,0,0.0314455,0.00230871,5.3429e-05,0,0.0022529,0,0,0,0,0.000104018,0.0724775,7.6835e-05,0,0,0,0.000679055,2.5238e-05,0,0.000498771,0,0,0.000144196,0,4.4341e-05,0.0921541,9.636e-05,0,0,0.0122025,32.6255
