Nodes	Cores	Error	SkError	Time	SkTime
1	16	1.00E-05	1.20E-05	2.72E+00	1.02E+00
2	32	1.00E-05	1.21E-05	1.40E+00	6.02E-01
4	64	1.00E-05	1.27E-05	7.52E-01	3.14E-01
8	128	1.00E-05	1.18E-05	4.22E-01	2.20E-01
16	256	1.00E-05	1.21E-05	5.18E-01	1.55E-01
32	512	1.00E-05	1.23E-05	5.77E-01	1.07E-01
