Nodes	Cores	Error	SkError	Time	SkTime
1	16	1.00E-05	1.10E-05	9.28E+00	2.75E+00
16	256	1.00E-05	1.11E-05	1.12E+00	4.52E-01
81	1296	1.00E-05	1.11E-05	4.65E-01	2.49E-01
256	4096	1.00E-05	1.12E-05	2.62E-01	2.72E-01
625	10000	1.00E-05	1.12E-05	6.83E-01	1.08E+00
