D	sthosvd	hosvdsketch	mlsvdrsi	mlsvdrsi2
30	0.0988560703718299	0.1036923477333	0.184982349109401	0.0988582113489143
35	0.0991492513950515	0.103661487396185	0.21358387904468	0.0991505470498096
40	0.099280267737482	0.105513159664788	0.184204168938812	0.0992817518664302
45	0.0993609028899587	0.104164098289039	0.170309636268172	0.0993621016981406
50	0.0994094103901108	0.103780016819383	0.191083414211722	0.0994098475839598
55	0.0994381306077775	0.103449640990167	0.192306127282975	0.0994384746737315
60	0.0994603895941648	0.102072857309262	0.164553588525472	0.0994607484432917
65	0.0994720431491467	0.104080624470577	0.16495546784878	0.099472411071495
70	0.0994781155434924	0.103074294424038	0.196280954587013	0.0994783429748489
75	0.0994808256640626	0.105203658944671	0.167664051167967	0.0994809944391214
80	0.0994900629103455	0.102769776105341	0.152949273670895	0.0994907327335464
85	0.0994898100223361	0.102330792865141	0.191331794706498	0.0994900916620912
90	0.0994942509689207	0.102646158905965	0.165663909035727	0.099494518586038
95	0.0994936553945409	0.103907012736114	0.164839670717112	0.0994938865442325
100	0.0994950526099357	0.108427496641925	0.180945192009277	0.0994953715413178
105	0.0994991051106641	0.102300861696119	0.161641493828392	0.0994992228359431
110	0.0994981214727874	0.101803771884865	0.161426257716188	0.0994981797733591
115	0.0994992905128297	0.103695277598993	0.181556197234854	0.0994993906525263
120	0.0995005066201646	0.102153832616898	0.173516810018312	0.099500610926484
125	0.0995022445062352	0.102133583361476	0.148464355550074	0.0995023526381609
130	0.0995008209887648	0.103248216385867	0.187111125601541	0.099500912385869
