Method,Sketch(0),Gram(0),Eigensolve(0),TTM(0),Sketch(1),Gram(1),Eigensolve(1),TTM(1),Sketch(2),Gram(2),Eigensolve(2),TTM(2),Sketch(3),Gram(3),Eigensolve(3),TTM(3),Sketch(4),Gram(4),Eigensolve(4),TTM(4),Total
Sketch,2.18705,0.316424,2.75909,0.955773,0.904749,0.601187,8.44118,0.600297,0.351355,0.315742,2.60087,0.14481,0.117586,0.000133609,7.45E-05,0.0767658,0.093645,7.01E-05,3.93E-05,0.0873682,20.569
Baseline,0,12.2218,3.32494,1.21889,0,1.88977,9.04735,1.2073,0,0.379101,2.79495,0.35824,0,0.00718772,8.42E-05,0.0723764,0,0.000690138,3.61E-05,0.0917874,32.6257
