Rank STHOSVD-T HOSVD-Sketch-T STHOSVD-E HOSVD-Sketch-E HOSVD-Sketch-MMTM-T HOSVD-Sketch-MMTM-E
15 11.2043 6.33754 1.41361e-08 2.51650e-06 4.64225 2.43095e-06
30 14.1086 8.93014 6.72144e-09 3.01344e-06 5.90286 2.77549e-06
45 17.7301 11.525 4.97885e-09 2.16987e-06 nan
60 21.2881 14.8933 1.46703e-08 1.97314e-06 nan
75 25.2761 17.0078 1.38450e-08 1.83329e-06 nan
90 30.618 20.2864 1.25841e-08 1.60765e-06 nan
