Trial,Tensor Size,Core Size,Ndims,dTTM Time,TTM Time
1,256,1,4,0.0469941,0.103864
2,256,3,4,0.0513363,0.112604
3,256,5,4,0.0483416,0.161568
4,256,7,4,0.0636062,0.180592
5,256,9,4,0.0814014,0.224419
6,256,11,4,0.103228,0.264794
7,256,13,4,0.131213,0.317418
8,256,15,4,0.165474,0.339647
9,256,17,4,0.20646,0.395593
10,256,19,4,0.264691,0.419163
11,256,21,4,0.33111,0.470353
12,256,23,4,0.40429,0.50412
