Method,Sketch(0),Gram(0),Eigensolve(0),TTM(0),Sketch(1),Gram(1),Eigensolve(1),TTM(1),Sketch(2),Gram(2),Eigensolve(2),TTM(2),Sketch(3),Gram(3),Eigensolve(3),TTM(3),Total
HOSVD-Sketch,1.71,0.0799567,0.185644,4.8477,1.31017,0.087666,0.184639,0.25503,0.15828,0.000402128,0.000204083,0.00152617,0.0943739,0.0709155,0.150112,0.0276589,10.436
st-HOSVD,0,21.0073,0.233115,4.78492,0,1.34159,0.197816,0.255177,0,0.0100234,0.000212626,0.0133534,0,0.0794688,0.165428,0.0224873,28.1565
